Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-25-2016  4:57PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  VGAControler.ngd
output file: VGAControler_pad.csv
Part type:   xa2c128
Speed grade: -7
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,flashAddr<3>,O,I/O/GTS2,OUTPUT,LVCMOS18,2,,FAST,,,,
P2,flashAddr<5>,O,I/O/GTS3,OUTPUT,LVCMOS18,2,,FAST,,,,
P3,xin<8>,I,I/O/GTS0,INPUT,LVCMOS18,2,,FAST,,,,
P4,xin<3>,I,I/O/GTS1,INPUT,LVCMOS18,2,,FAST,,,,
P5,,VCCAUX,VAUX,,,,,,,,,,
P6,xin<2>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P7,xin<1>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P8,xin<0>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P9,pause,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P10,Bout<2>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P11,Bout<1>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P12,Bout<0>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P13,dataReady,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P14,flashAddr<10>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P15,flashAddr<11>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P16,flashAddr<12>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P17,flashAddr<13>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P18,flashAddr<14>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P19,flashAddr<15>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P20,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,clk,GCK,I/O/GCK0,,LVCMOS18,1,,FAST,,,,
P23,flashAddr<16>,O,I/O/GCK1,OUTPUT,LVCMOS18,1,,FAST,,,,
P24,flashAddr<1>,O,I/O/CDR,OUTPUT,LVCMOS18,1,,FAST,,,,
P25,GND,,GND,,,,,,,,,,
P26,,VCC,VCC,,,,,,,,,,
P27,flashAddr<2>,O,I/O/GCK2,OUTPUT,LVCMOS18,1,,FAST,,,,
